title,author,description,publishedDate,categories,pageCount,averageRating
Mockingjay,Suzanne Collins,"The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins. The greatly anticipated final book in the New York Times bestselling Hunger Games trilogy by Suzanne Collins.The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss Everdeen. The final book in The Hunger Games trilogy by Suzanne Collins will have hearts racing, pages turning, and everyone talking about one of the biggest and most talked-about books and authors in recent publishing history!",2010-08-24,['Young Adult Fiction'],402.0,4.0
Divergent,Veronica Roth,"This first book in Veronica Roth's #1 New York Times bestselling Divergent series of books is the novel the inspired the major motion picture starring Shailene Woodley, Theo James, and Kate Winslet. This dystopian series set in a futuristic Chicago has captured the hearts of millions of teen and adult readers. Perfect for fans of the Hunger Games and Maze Runner series, Divergent and its sequels, Insurgent and Allegiant, are the gripping story of a dystopian world transformed by courage, self-sacrifice, and love. Fans of the Divergent movie will find the book packed with just as much emotional depth and exhilarating action as the film, all told in beautiful, rich language. One choice can transform you. Beatrice Prior's society is divided into five factions—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). Beatrice must choose between staying with her Abnegation family and transferring factions. Her choice will shock her community and herself. But the newly christened Tris also has a secret, one she's determined to keep hidden, because in this world, what makes you different makes you dangerous. And don't miss The Fates Divide, Veronica Roth's powerful sequel to the bestselling Carve the Mark!",2011-05-03,['Young Adult Fiction'],419.0,4.5
Insurgent,Veronica Roth,"One choice can destroy you. Veronica Roth's second #1 New York Times bestseller continues the dystopian thrill ride that began in Divergent. A hit with both teen and adult readers, Insurgent is the action-packed, emotional adventure that inspired the major motion picture starring Shailene Woodley, Theo James, Ansel Elgort, and Octavia Spencer. As war surges in the factions of dystopian Chicago all around her, Tris attempts to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love. And don't miss The Fates Divide, Veronica Roth's powerful sequel to the bestselling Carve the Mark!",2012-05-01,['Young Adult Fiction'],436.0,4.5
Allegiant,Veronica Roth,The conclusion to the trilogy reveals the secrets of the dystopian world and the consequences of a fateful decision.,2013-10-22,['Juvenile Fiction'],544.0,0.0
H2O,Virginia Bergin,"In the first book in a terrifying post-apocalyptic duology, it's in the rain...and just one drop will kill you. Perfect for fans of dystopian books! .27 is a number Ruby hates. It's a number that marks the percentage of the population that has survived. It's a number that means she's one of the ""lucky"" few still standing. And it's a number that says her father is probably dead. Against all odds, Ruby has survived the catastrophic onset of the killer rain. Two weeks after the radio started broadcasting the warning, ""It's in the rain. It's fatal and there's no cure,"" the drinkable water is running out. Ruby's left with two options: persevere on her own or embark on a treacherous journey across the country to find her father—if he's even still alive. Don't miss the breathless conclusion to the H2O duology, The Storm. Perfect for those looking for: Post-apocalyptic survival fiction Intriguing and unique takes on a bestselling genre Young adult dystopian fiction A strong female narrative",2014-10-07,['Young Adult Fiction'],333.0,3.0
The Storm,Virginia Bergin,"The shocking conclusion to the YA dystopian H2O duology. The rain may not be the only thing to fear in this post-apocalyptic thriller. Ninety-seven percent of the population is dead. And the killer rain keeps falling. Ruby's not sure she can make it on her own much longer. So when a chance encounter leads her to a camp with the last boy she may ever kiss (it's not easy to date during an apocalypse), Ruby gratefully accepts the army's protection. But safety comes with a price: If Ruby wants to stay, she must keep her eyes—and her mouth—shut. Except Ruby stumbles across a secret she can't possibly keep. Horrified, she flips out and fights back—only to make the most shocking discovery of all. The H2O Duology: H2O (Book 1) The Storm (Book 2) Perfect for those looking for: Post-apocalyptic survival fiction Intriguing and unique takes on a bestselling genre Young adult dystopian fiction A strong female narrative",2015-10-06,['Young Adult Fiction'],283.0,5.0
Ender's Game,Orson Scott Card,Child-hero Ender Wiggin must fight a desperate battle against a deadly alien race if mankind is to survive.,1992-08-15,['Fiction'],260.0,4.5
Speaker for the Dead,Orson Scott Card,"Ender Wiggin, the young military genius, discovers that a second alien war is inevitable and that he must dismiss his fears to make peace with humanity's strange new brothers.",1991,['Downloadable audio books'],0.0,0.0
Xenocide,Orson Scott Card,"The war for survival of the planet Lusitania will be fought in the heart of a child named Gloriously Bright. On Lusitania, Ender found a world where humans and pequininos and the Hive Queen could all live together; where three very different intelligent species could find common ground at last. Or so he thought. Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequininos require in order to become adults. The Starways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. The Fleet is on its way, a second xenocide seems inevitable. Xenocide is the third novel in Orson Scott Card's The Ender Saga. THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2009-11-30,['Fiction'],409.0,4.0
Children of the Mind,Orson Scott Card,"The planet Lusitania is threatened with destruction by Starways Congress. With the help of the computer intelligence Jane, Ender must save the planet and its three species.",2002-08-24,['Fiction'],356.0,3.5
Ender's Shadow,Orson Scott Card,"The novel that launched the bestselling Ender's Shadow series. The human race is at War with the ""Buggers,"" an insect-like alien race. As Earth prepares to defend itself from total destruction at the hands of an inscrutable enemy, all focus is on the development of military geniuses who can fight such a war, and win. The long distances of interstellar space have given hope to the defenders of Earth--they have time to train these future commanders up from childhood, forging them into an irresistible force in the high orbital facility called the Battle School. Andrew ""Ender"" Wiggin was not the only child in the Battle School; he was just the best of the best. In Ender's Shadow, Card tells the story of another of those precocious generals, the one they called Bean--the one who became Ender's right hand, part of his team, in the final battle against the Buggers. Bean's past was a battle just to survive. His success brought him to the attention of the Battle School's recruiters, those people scouring the planet for leaders, tacticians, and generals to save Earth from the threat of alien invasion. Bean was sent into orbit, to the Battle School. And there he met Ender.... THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings",2000,['Fiction'],484.0,3.0
Shadow of the Hegemon,Orson Scott Card,"The War is over, won by Ender Wiggin and his team of brilliant child-warriors. The enemy is destroyed, the human race is saved. Ender himself refuses to return to the planet, but his crew has gone home to their families, scattered across the globe. The battle school is no more. But with the external threat gone, the Earth has become a battlefield once more. The children of the Battle School are more than heroes; they are potential weapons that can bring power to the countries that control them. One by one, all of Ender's Dragon Army are kidnapped. Only Bean escapes; and he turns for help to Ender's brother Peter. Peter Wiggin, Ender's older brother, has already been manipulating the politics of Earth from behind the scenes. With Bean's help, he will eventually rule the world. Shadow of the Hegemon is the second novel in Orson Scott Card's Shadow Series. THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2009-11-30,['Fiction'],462.0,4.0
Shadow Puppets,Orson Scott Card,"The sequel to the New York Times bestselling novel, Shadow of the Hegemon",2002-08-19,['Fiction'],364.0,5.0
Shadow of the Giant,Orson Scott Card,"The Ender Saga continues with Shadow of the Giant, which parallels the events of Ender's Game from a different character’s point of view. Bean's past was a battle just to survive. He first appeared on the streets of Rotterdam, a tiny child with a mind leagues beyond anyone else. He knew he could not survive through strength; he used his tactical genius to gain acceptance into a children's gang, and then to help make that gang a template for success for all the others. He civilized them, and lived to grow older. Then he was discovered by the recruiters for the Battle School. For Earth was at war - a terrible war with an inscrutable alien enemy. A war that humanity was near to losing. But the long distances of interstellar space has given hope to the defenders of Earth - they had time to train military geniuses up from childhood, forging them into an irresistible force in the high-orbital facility called the Battle School. That story is told in two books, Orson Scott Card's beloved classic Ender's Game, and its parallel, Ender's Shadow. Now, in Shadow of the Giant, Bean's story continues. Bean was the smallest student at the Battle School, but he became Ender Wiggins' right hand, Since then he has grown to be a power on Earth. He served the Hegemon as strategist and general in the terrible wars that followed Ender's defeat of the alien empire attacking Earth. Now he and his wife Petra yearn for a safe place to build a family - something he has never known - but there is nowhere on Earth that does not harbor his enemies - old enemies from the days in Ender's Jeesh, new enemies from the wars on Earth. To find security, Bean and Petra must once again follow in Ender's footsteps. They must leave Earth behind, in the control of the Hegemon, and look to the stars. THE ENDER UNIVERSE Ender series Ender’s Game / Speaker for the Dead / Xenocide / Children of the Mind / Ender in Exile / Children of the Fleet Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm / The Hive Ender novellas A War of Gifts / First Meetings At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2009-11-30,['Fiction'],388.0,4.0
Shadows in Flight,Orson Scott Card,The sequel to Orson Scott Card's New York Times bestselling Shadow of the Giant.,2012-01-17,['Fiction'],306.0,1.0
title,author,"A self-help guide for any author or publisher. This guide explains the steps involved to create and sell eBooks at MagicAuthor.com. It also answers many of the questions related to eBooks, both generic and technical.",2018-03-05,['Business & Economics'],20.0,0.0
Jesus the Christ,James E. Talmage,"JESUS THE CHRIST BY JAMES E. TALMAGE Written under request from the First Presidency, and later approved by the Prophet, First Presidency and Council of the Twelve Apostles, Jesus the Christ is perhaps one of the most accurate and comprehensive books written on the Savior’s life, ministry, teachings and atonement. Uniquely written inside the Salt Lake City temple, Jesus the Christ takes an ahead-of-its-time approach to the life of the Savior by including the antemortal existence and activities of the world's Redeemer, the revelations and personal manifestations of the glorified and exalted Son of God during the apostolic period of old and in modern times, the assured nearness of the Lord's second advent, and predicted events beyond. The author describes this book as “a powerful and well directed beam, [which] illumines many dark passages of ancient construction.” As an inspired writing, the author acknowledges the constant companionship of the “spirit of sacredness” throughout his labor of love in writing this book. Like the prophets of ancient and modern days, Elder Talmage reverently envokes the spirit of sacredness to be with all the readers of this volume. Elder Talmage died in 1933, thus making this writing a “Voice from the Dust.” In recognition of 100 years since its original publication, Latter-day Strengths is well-pleased to present this edition of Jesus the Christ. KEY FEATURES OF THIS BOOK · This book is being published especially for Latter-day Saints · This is an unabridged reprint of the original manuscript · Available in multiple formats: eBook, original paperback, large print paperback, hardcover and audiobook · Properly formatted for aesthetics and ease of reading. · Custom Table of Contents and Design elements for each chapter · The Copyright page has been placed at the end of the book, as to not impede the content and flow of the book. ABOUT THIS BOOK Original publication: 1915 6TH Book of the James E. Talmage Collection Chapters: 42 Words: 281,000 This book makes a wonderful addition to any Latter-day Saint library ABOUT US At Latter-day Strengths we have been publishing “Books of the Restoration” from various authors of the Church of Jesus Christ of Latter-day Saints since 2014. With 200+ book titles, and more than 34,000 books sold, we take the time and care necessary to format your book properly to make it the best possible reading experience. Enjoy!",2015-07-20,['Religion'],905.0,0.0
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"For the twelve million members of The Church of Jesus Christ of Latter-day Saints worldwide (six million in the United States), The Book of Mormon is literally the word of God, a companion volume to the Bible that contains the everlasting gospel. Doubleday is proud to publish this official trade edition of The Book of Mormon by special arrangement with the Church. According to Mormon belief, The Book of Mormon was inscribed on golden plates by generations of prophets, quoted and abridged by the prophet-historian Mormon, and buried in the ground by Mormon's son, Moroni. Fourteen centuries later, in 1823, the angel Moroni led Joseph Smith to the plates hidden in a hillside in upstate New York. Smith translated the ancient language into English through divine revelation. The Book of Mormon narrates the historical, religious, political, and military events that shaped and continue to inform the Church's teachings. The publication of this edition offers the opportunity to explore one of the largest denominations in America today. - Back cover.",2006-10-24,['Mormon Church'],0.0,0.0
Our Search for Happiness: An Invitation to Understand the Church of Jesus Christ of Latter-day Saints,M. Russell Ballard,Mormon Church Doctrines.,1993-01-01,['Religion'],128.0,5.0
The Host,Stephenie Meyer,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of their human hosts while leaving their bodies intact, and most of humanity has succumbed. Wanderer, the invading ""soul"" who has been given Melanie's body, knew about the challenges of living inside a human: the overwhelming emotions, the too vivid memories. But there was one difficulty Wanderer didn't expect: the former tenant of her body refusing to relinquish possession of her mind. Melanie fills Wanderer's thoughts with visions of the man Melanie loves -- Jared, a human who still lives in hiding. Unable to separate herself from her body's desires, Wanderer yearns for a man she's never met. As outside forces make Wanderer and Melanie unwilling allies, they set off to search for the man they both love. Featuring what may be the first love triangle involving only two bodies, The Host is a riveting and unforgettable novel that will bring a vast new readership to one of the most compelling writers of our time.",2010-04-26,['Fiction'],569.0,5.0
Z 2134,Sean Platt,"It’s 2134 in a dystopian America, one century after a series of zombie plagues first infected then obliterated much of the world’s population. The survivors formed six walled Cities throughout the continent, all under the rule of a totalitarian government that enforces strict control over its populace. You must obey your government. You must be a good citizen. You must be a productive citizen. You must not break the law. Or The City Watch will find you and arrest you. Jonah Lovecraft, a former Watcher, was arrested for the murder of his wife. Like most criminals, he has one chance at freedom ― to participate in The Darwin Games, a televised survival show pitting two players from each city against one another in The Barrens, the uninhabited areas outside the City Walls. He’ll also have to face another enemy ― the zombies still roaming The Barrens. As he fights for his freedom against impossible odds, his daughter, Anastasia, stumbles into people who have information about her father ― information that will change her life forever. While putting her in the crosshairs of her father’s enemies. Z 2134 is the first book of a dystopian trilogy from the bestselling authors of Yesterday’s Gone. This book was initially released in episodes as a Kindle Serial.",2022-07-20,['Young Adult Fiction'],317.0,0.0
The Sunlit Man,Brandon Sanderson,"From the #1 Kickstarter campaign of all time—#1 New York Times bestselling author Brandon Sanderson adds to his Cosmere universe shared by Mistborn and The Stormlight Archive with a new standalone novel that combines fantasy and science fiction. Illustrated by Ernanda Souza, Nabeste Zitro, and kudriaken. Running. Putting distance between himself and the relentless Night Brigade has been Nomad’s strategy for years. Staying one or two steps ahead of his pursuers by skipping through the Cosmere from one world to the next. But now, his powers too depleted to escape, Nomad finds himself trapped on Canticle, a planet that will kill anyone who doesn’t keep moving. Fleeing the fires of a sunrise that melts the very stones, he is instantly caught up in the struggle between a heartless tyrant and the brave rebels who defy him. Failure means a quick death, incinerated by the sun…or a lifetime as a mindless slave. Tormented by the consequences of his past, Nomad must fight not only for his survival—but also for his very soul. Note from Brandon: I sincerely believe that books don’t live until they’re read. While I would write even if no one were reading—it’s who I am—I thrive because I know the stories are being brought to life by all of you. In this, stories are a special kind of art, particularly when written down. Each of you will imagine this book, and its characters, a little differently—you will each put your own stamp on it, making it yours. I don’t believe a story is quite finished until that has happened—until the dream in my head has become a reality (even if briefly) in yours. And so this book is yours, as they all are once you read them. Thank you so much for bringing life to my work, and to the Cosmere.",2023-10-10,['Fiction'],448.0,0.0
Of Mice and Men,John Steinbeck,"A controversial tale of friendship and tragedy during the Great Depression, in a deluxe centennial edition Over seventy-five years since its first publication, Steinbeck’s tale of commitment, loneliness, hope, and loss remains one of America’s most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. They hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men represents an experiment in form, which Steinbeck described as “a kind of playable novel, written in a novel form but so scened and set that it can be played as it stands.” A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. This Centennial edition, specially designed to commemorate one hundred years of Steinbeck, features french flaps and deckle-edged pages. For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",2002-01-08,['Fiction'],113.0,0.0
Batman: The Killing Joke,Alan Moore,"One bad day. Freed once again from the confines of Arkham Asylum, The Joker is out to prove a deranged point. And he's going to use Gotham City's top cop, commissioner Jim Gordon, and his brilliant daughter Barbara (a.k.a. Batgirl) to do it. Now Batman must race to stop his archnemesis before his reign of terror claims two of the Dark Knight's closest friends. Critically acclaimed author Alan Moore redefined graphic novel story-telling with Watchmen and V for Vendetta. In Batman: The Killing Joke, he takes on the origin of comics' greatest super-villain, The Joker, and changes Batman's world forever. Absolute Batman: The Killing Joke (30th Anniversary Edition) includes both the recolored art by artist Brian Bolland and the original colors by John Higgins, along with the never-before-published scripts, and numerous Batman and Joker sketches and stories by Bolland. Collects Batman: Black and White #4; Batman: The Killing Joke; Countdown #31; Cover Story: The DC Comics Art of Brian Bolland; Joker: Last Laugh #1, #6; Joker's Greatest Stories Ever Told; Who's Who in the DC Universe #13 and Wonder Woman #96.",2018-09-11,['Comics & Graphic Novels'],0.0,0.0
Leadership Presence,Belle Linda Halpern,"BRING THE TECHNIQUES OF THE STAGE TO THE BOARDROOM. For more than a decade, Belle Linda Halpern and Kathy Lubar have applied the lessons and expertise they have learned as performing artists to the work of their company, The Ariel Group. Halpern and Lubar have helped tens of thousands of executives at major companies around the country and the globe, including General Electric, Mobil Oil, Capital One, and Deloitte. In Leadership Presence, they make their time-tested strategies available to everyone, from high-profile CEOs to young professionals seeking promotion. Their practical, proven approach will enable you to develop the skills necessary to inspire confidence, command respect, build credibility, and motivate others. Halpern and Lubar teach you: • How to handle tough situations with heightened confidence and flexibility • How to build your relationships to enhance collaboration and business development • How to express yourself dramatically and motivate others • How to integrate your personal values into communication to inspire others and become a more effective leader Learning the skills of the true performance experts, readers will understand why Leadership Presence is the key to dynamic and authentic leadership.",2004-10-14,['Business & Economics'],306.0,0.0
Epic,Conor Kostick,"#WELCOME TO EPIC: PRESS START TO PLAY#. On New Earth, Epic is not just a computer game, it's a matter of life and death. If you lose, you lose everything; if you win, the world is yours for the taking. Seeking revenge for the unjust treatment of his parents, Erik subverts the rules of the game, and he and his friends are drawn into a world of power-hungry, dangerous players. Now they must fight the ultimate masters of the game -- The Committee. But what Erik doesn't know is that The Committee has a sinister, deadly secret, and challenging it could destroy the whole world of Epic.",2012-07-01,['Young Adult Fiction'],291.0,5.0
The Princess Bride,William Goldman,"The beloved novel that spawned the cult classic film. Embark on a tale of true love and swashbuckling adventure like no other. Hello. My name is Inigo Montoya. You killed my father; prepare to die! Beautiful, flaxen-haired Buttercup has fallen for Westley, the farm boy. When he departs to make his fortune, she vows never to love another. But when she hears that his ship has been captured by the Dread Pirate Roberts - who never leaves survivors - her heart is broken. Buttercup's charms draw the attention of the relentless Prince Humperdinck who wants a wife and will go to any lengths to make her his bride. But there are other plans afoot. Plans involving mercenaries, giants, criminal philosophers, villainous counts, and pirates. So begins one of modern storytelling's most beloved tales. ________________________ 'As brilliant and funny as its screen version' Observer 'One of the funniest, most original, and deeply moving novels I have read in a long time' Los Angeles Times 'Both modern and timeless' Neon 'A wonderful fairy tale' The Times",2013-05-02,['Young Adult Fiction'],403.0,0.0
A Simple Path,Mother Teresa,"""Works of love are always works of joy."" ""Do we look at the poor with compassion? They are hungry not only for food, they are hungry to be recognized as human beings."" ""There is only one God and He is God to all; therefore it is important that everyone is seen as equal before God."" These rich words of wisdom and conviction are among the pearls of thought found in Meditations from A Simple Path. Comprised of luminous selections culled from the New York Times bestseller, this warm and very loving volume is a joyful celebration of prayer, faith, love, service, and peace. Profound and uplifting, this elegant book will provide a tremendous source of inspiration for you or someone you love. It is brimming with timeless messages for us all.",1996-03-12,['Religion'],102.0,0.0
The Way of Shadows,Brent Weeks,"From NYT bestselling author Brent Weeks comes the first novel in his breakout fantasy trilogy in which a young boy trains under the city's most legendary and feared assassin, Durzo Blint. For Durzo Blint, assassination is an art -- and he is the city's most accomplished artist. For Azoth, survival is precarious. Something you never take for granted. As a guild rat, he's grown up in the slums, and learned to judge people quickly -- and to take risks. Risks like apprenticing himself to Durzo Blint. But to be accepted, Azoth must turn his back on his old life and embrace a new identity and name. As Kylar Stern, he must learn to navigate the assassins' world of dangerous politics and strange magics -- and cultivate a flair for death.",2008-10-01,['Fiction'],533.0,4.5
To Kill a Mockingbird,Harper Lee,"Harper Lee's classic novel of a lawyer in the Deep South defending a black man charged with the rape of a white girl. One of the best-loved stories of all time, To Kill a Mockingbird has earned many distinctions since its original publication in 1960. It won the Pulitzer Prize, has been translated into more than forty languages, sold more than thirty million copies worldwide, and been made into an enormously popular movie. Most recently, librarians across the country gave the book the highest of honors by voting it the best novel of the twentieth century.",1970,['Fiction'],100.0,4.0
Eragon,Christopher Paolini,"14 Compact Discs; 16 hours, 23 minutes; unabridged Audio CD.",2006,['Juvenile Fiction'],770.0,5.0
The Loners,Lex Thomas,"It was just another ordinary day at McKinley High—until a massive explosion devastated the school. When loner David Thorpe tried to help his English teacher to safety, the teacher convulsed and died right in front of him. And that was just the beginning. A year later, McKinley has descended into chaos. All the students are infected with a virus that makes them deadly to adults. The school is under military quarantine. The teachers are gone. Violent gangs have formed based on high school social cliques. Without a gang, you're as good as dead. And David has no gang. It's just him and his little brother, Will, against the whole school. In this frighteningly dark and captivating novel, Lex Thomas locks readers inside a school where kids don't fight to be popular, they fight to stay alive.",2012-08-01,['Young Adult Fiction'],278.0,4.5
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,"The #1 New York Times bestselling memoir of U.S. Navy Seal Chris Kyle, and the source for Clint Eastwood’s blockbuster, Academy-Award nominated movie. “An amazingly detailed account of fighting in Iraq--a humanizing, brave story that’s extremely readable.” — PATRICIA CORNWELL, New York Times Book Review ""Jaw-dropping...Undeniably riveting."" —RICHARD ROEPER, Chicago Sun-Times From 1999 to 2009, U.S. Navy SEAL Chris Kyle recorded the most career sniper kills in United States military history. His fellow American warriors, whom he protected with deadly precision from rooftops and stealth positions during the Iraq War, called him “The Legend”; meanwhile, the enemy feared him so much they named him al-Shaitan (“the devil”) and placed a bounty on his head. Kyle, who was tragically killed in 2013, writes honestly about the pain of war—including the deaths of two close SEAL teammates—and in moving first-person passages throughout, his wife, Taya, speaks openly about the strains of war on their family, as well as on Chris. Gripping and unforgettable, Kyle’s masterful account of his extraordinary battlefield experiences ranks as one of the great war memoirs of all time.",2012-01-03,['Biography & Autobiography'],267.0,4.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,A leading management consultant outlines seven organizational rules for improving effectiveness and increasing productivity at work and at home.,2004,['Character'],392.0,4.5
The Count of Monte Cristo,Alexandre Dumas,"With the post-Napoleonic era as the back-drop, the novel covers the life of a young sailor, Edmond Dantes. The narration follows him from near-triumph to complete disaster and then his swashbuckling adventures to get freedom and revenge. The blustering journey of the protagonist keeps the reader on the edge.",2006-11,['Fiction'],642.0,5.0
Zodiac,Robert Graysmith,"Robert Graysmith’s New York Times bestselling account of the desperate hunt for a serial killer and his own investigation of California’s unsolved Zodiac murders. A sexual sadist, the Zodiac killer took pleasure in torture and murder. His first victims were a teenage couple, stalked and shot dead in a lovers’ lane. After another slaying, he sent his first mocking note to authorities, promising he would kill more. The official tally of his victims was six. He claimed thirty-seven dead. The real toll may have reached fifty. Robert Graysmith was on staff at the San Francisco Chronicle in 1969 when Zodiac first struck, triggering in the resolute reporter an unrelenting obsession with seeing the hooded killer brought to justice. In this gripping account of Zodiac’s eleven-month reign of terror, Graysmith reveals hundreds of facts previously unreleased, including the complete text of the killer’s letters.",2020-05-05,['True Crime'],434.0,0.0
